Model,Sample Size,F1 Score,MCC,FP,FN,Attack,Epsilon,F1 Score (Adv),MCC (Adv),FP (Adv),FN (Adv),ASR
DT,180905,100.0%,0.992,86,0,BIM,1,100.0%,0.0,85,0,0.1%
DT,180905,100.0%,0.992,86,0,BIM,5,100.0%,0.0,92,0,0.1%
DT,180905,100.0%,0.992,86,0,FGSM,1,100.0%,0.0,91,0,0.1%
DT,180905,100.0%,0.992,86,0,FGSM,5,99.9%,0.0,309,0,0.3%
DT,180905,100.0%,0.992,86,0,PGD,1,100.0%,0.0,106,0,0.1%
DT,180905,100.0%,0.992,86,0,PGD,5,99.9%,0.0,299,0,0.2%
ET,180905,100.0%,0.992,82,0,BIM,1,100.0%,0.0,19,0,0.0%
ET,180905,100.0%,0.992,82,0,BIM,5,100.0%,0.0,19,0,0.0%
ET,180905,100.0%,0.992,82,0,FGSM,1,100.0%,0.0,19,0,0.0%
ET,180905,100.0%,0.992,82,0,FGSM,5,99.9%,0.0,207,0,0.2%
ET,180905,100.0%,0.992,82,0,PGD,1,100.0%,0.0,6,0,0.0%
ET,180905,100.0%,0.992,82,0,PGD,5,100.0%,0.0,13,0,0.0%
RF,180905,100.0%,0.992,90,0,BIM,1,100.0%,0.0,27,0,0.0%
RF,180905,100.0%,0.992,90,0,BIM,5,100.0%,0.0,34,0,0.0%
RF,180905,100.0%,0.992,90,0,FGSM,1,100.0%,0.0,34,0,0.0%
RF,180905,100.0%,0.992,90,0,FGSM,5,100.0%,0.0,40,0,0.0%
RF,180905,100.0%,0.992,90,0,PGD,1,100.0%,0.0,14,0,0.0%
RF,180905,100.0%,0.992,90,0,PGD,5,100.0%,0.0,26,0,0.0%
XGBoost,180905,99.9%,0.988,127,0,BIM,1,100.0%,0.0,95,0,0.1%
XGBoost,180905,99.9%,0.988,127,0,BIM,5,100.0%,0.0,95,0,0.1%
XGBoost,180905,99.9%,0.988,127,0,FGSM,1,100.0%,0.0,79,0,0.1%
XGBoost,180905,99.9%,0.988,127,0,FGSM,5,99.9%,0.0,297,0,0.2%
XGBoost,180905,99.9%,0.988,127,0,PGD,1,100.0%,0.0,94,0,0.1%
XGBoost,180905,99.9%,0.988,127,0,PGD,5,100.0%,0.0,121,0,0.1%
DNN,180905,99.8%,0.97,337,0,BIM,1,100.0%,0.0,14,0,0.0%
DNN,180905,99.8%,0.97,337,0,BIM,5,100.0%,0.0,14,0,0.0%
DNN,180905,99.8%,0.97,337,0,FGSM,1,100.0%,0.0,18,0,0.0%
DNN,180905,99.8%,0.97,337,0,FGSM,5,99.9%,0.0,206,0,0.2%
DNN,180905,99.8%,0.97,337,0,PGD,1,100.0%,0.0,26,0,0.0%
DNN,180905,99.8%,0.97,337,0,PGD,5,100.0%,0.0,28,0,0.0%
